Year,Rank,Title,Artist,Artist_cloud,count,size,genres,popularity,first_year,year_range,range_count
2022,89,A Holly Jolly Christmas,Burl Ives,Burl~Ives,1,60,"['adult standards', 'american folk revival', 'lounge']",60,1949,before 1980,26
2022,86,Jingle Bell Rock,Bobby Helms,Bobby~Helms,1,61,['adult standards'],61,1957,before 1980,26
2021,92,Rockin' Around the Christmas Tree,Brenda Lee,Brenda~Lee,2,130,"['adult standards', 'lounge']",65,1959,before 1980,26
2022,80,Rockin' Around the Christmas Tree,Brenda Lee,Brenda~Lee,2,130,"['adult standards', 'lounge']",65,1959,before 1980,26
2015,42,FourFiveSeconds,Paul McCartney,Paul~McCartney,1,73,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",73,1962,before 1980,26
2013,81,#Beautiful,Mariah Carey,Mariah~Carey,4,324,"['dance pop', 'urban contemporary']",81,1967,before 1980,26
2020,67,All I Want for Christmas Is You,Mariah Carey,Mariah~Carey,4,324,"['dance pop', 'urban contemporary']",81,1967,before 1980,26
2021,78,All I Want for Christmas Is You,Mariah Carey,Mariah~Carey,4,324,"['dance pop', 'urban contemporary']",81,1967,before 1980,26
2022,65,All I Want for Christmas Is You,Mariah Carey,Mariah~Carey,4,324,"['dance pop', 'urban contemporary']",81,1967,before 1980,26
2016,33,Just Like Fire,P!nk,P!nk,1,85,"['dance pop', 'pop']",85,1967,before 1980,26
2022,10,Cold Heart (Pnau remix),Elton John,Elton~John,1,86,"['glam rock', 'mellow gold', 'piano rock']",86,1969,before 1980,26
2014,78,Love Never Felt So Good,Michael Jackson,Michael~Jackson,1,85,"['pop', 'r&b', 'soul']",85,1972,before 1980,26
2013,88,Next to Me,Emeli Sande,Emeli~Sande,1,66,"['dance pop', 'neo soul', 'pop', 'r&b', 'uk pop']",66,1973,before 1980,26
2013,40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,Fall~Out~Boy,3,246,"['emo', 'modern rock']",82,1973,before 1980,26
2015,43,Centuries,Fall Out Boy,Fall~Out~Boy,3,246,"['emo', 'modern rock']",82,1973,before 1980,26
2015,60,Uma Thurman,Fall Out Boy,Fall~Out~Boy,3,246,"['emo', 'modern rock']",82,1973,before 1980,26
2012,52,Wanted,Hunter Hayes,Hunter~Hayes,3,186,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'post-teen pop']",62,1973,before 1980,26
2013,72,I Want Crazy,Hunter Hayes,Hunter~Hayes,3,186,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'post-teen pop']",62,1973,before 1980,26
2013,92,Wanted,Hunter Hayes,Hunter~Hayes,3,186,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'post-teen pop']",62,1973,before 1980,26
2012,97,Adorn,Miguel,Miguel,3,255,"['dance pop', 'pop', 'r&b']",85,1973,before 1980,26
2013,84,Adorn,Miguel,Miguel,3,255,"['dance pop', 'pop', 'r&b']",85,1973,before 1980,26
2018,75,Sky Walker,Miguel,Miguel,3,255,"['dance pop', 'pop', 'r&b']",85,1973,before 1980,26
2013,59,Bad,Wale,Wale,1,72,"['gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",72,1973,before 1980,26
2015,78,The Hanging Tree,James Newton Howard,James~Newton~Howard,1,65,"['orchestral soundtrack', 'soundtrack']",65,1975,before 1980,26
2020,99,Slide,H.E.R.,H.E.R.,1,78,"['pop', 'r&b', 'urban contemporary']",78,1977,before 1980,26
2022,23,Running Up That Hill (A Deal with God),Kate Bush,Kate~Bush,1,74,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",74,1978,before 1980,26
2015,11,Cheerleader (Felix Jaehn Remix),OMI,OMI,1,66,[],66,1987,1980-1990,72
2012,82,Red Solo Cup,Toby Keith,Toby~Keith,1,70,"['contemporary country', 'country', 'country road', 'oklahoma country']",70,1989,1980-1990,72
2013,49,Girl on Fire,Alicia Keys,Alicia~Keys,1,80,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",80,1990,1990-2000,72
2014,17,Say Something,Christina Aguilera,Christina~Aguilera,1,80,"['dance pop', 'pop', 'post-teen pop']",80,1990,1990-2000,72
2014,1,Happy,Pharrell Williams,Pharrell~Williams,1,82,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap']",82,1990,1990-2000,72
2014,87,No Mediocre,T.I.,T.I.,1,76,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76,1990,1990-2000,72
2017,2,Despacito (Remix),Daddy Yankee,Daddy~Yankee,3,270,"['latin hip hop', 'reggaeton', 'urbano latino']",90,1991,1990-2000,72
2018,93,Dura,Daddy Yankee,Daddy~Yankee,3,270,"['latin hip hop', 'reggaeton', 'urbano latino']",90,1991,1990-2000,72
2019,65,Con Calma,Daddy Yankee,Daddy~Yankee,3,270,"['latin hip hop', 'reggaeton', 'urbano latino']",90,1991,1990-2000,72
2012,32,"Young, Wild & Free",Snoop Dogg,Snoop~Dogg,1,85,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",85,1992,1990-2000,72
2012,72,Climax,Usher,Usher,4,324,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",81,1993,1990-2000,72
2012,44,Scream,Usher,Usher,4,324,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",81,1993,1990-2000,72
2015,55,I Don't Mind,Usher,Usher,4,324,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",81,1993,1990-2000,72
2016,90,No Limit,Usher,Usher,4,324,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",81,1993,1990-2000,72
2013,77,Highway Don't Care,Tim McGraw,Tim~McGraw,2,146,"['contemporary country', 'country', 'country road']",73,1993,1990-2000,72
2016,96,Humble and Kind,Tim McGraw,Tim~McGraw,2,146,"['contemporary country', 'country', 'country road']",73,1993,1990-2000,72
2016,87,All the Way Up,Fat Joe,Fat~Joe,1,70,"['bronx hip hop', 'dance pop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",70,1993,1990-2000,72
2012,40,Niggas in Paris,Jay-Z,Jay-Z,2,174,"['east coast hip hop', 'hip hop', 'rap']",87,1993,1990-2000,72
