Unnamed: 0,Year,Rank,Title,Artist,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,2012,1,Somebody That I Used to Know,Gotye feat Kimbra,0RtMRbaqeadQFvlYxcAczv,34,0.646,0.642,0,-6.19,1,0.0412,0.00028,0.0225,0.0341,0.376,128.992,audio_features,0RtMRbaqeadQFvlYxcAczv,spotify:track:0RtMRbaqeadQFvlYxcAczv,https://api.spotify.com/v1/tracks/0RtMRbaqeadQFvlYxcAczv,https://api.spotify.com/v1/audio-analysis/0RtMRbaqeadQFvlYxcAczv,273493,4
1,2012,2,Call Me Maybe,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,70,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,3TGRqZ0a2l1LRblBkJoaDx,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400,4
2,2012,3,We Are Young,Fun feat Janelle Monáe,7a86XRg84qjasly9f6bPSD,70,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,audio_features,7a86XRg84qjasly9f6bPSD,spotify:track:7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD,250627,4
3,2012,4,Payphone,Maroon 5 feat Wiz Khalifa,1UhGntCpnptxUsNjFrweVe,1,0.782,0.674,11,-9.124,1,0.0388,0.00232,0.736,0.0612,0.828,110.011,audio_features,1UhGntCpnptxUsNjFrweVe,spotify:track:1UhGntCpnptxUsNjFrweVe,https://api.spotify.com/v1/tracks/1UhGntCpnptxUsNjFrweVe,https://api.spotify.com/v1/audio-analysis/1UhGntCpnptxUsNjFrweVe,231423,4
4,2012,5,Lights,Ellie Goulding,11ozIUBoXAgRTVWelDn4pL,62,0.703,0.731,8,-6.283,0,0.0311,0.0721,0.00191,0.138,0.719,120.028,audio_features,11ozIUBoXAgRTVWelDn4pL,spotify:track:11ozIUBoXAgRTVWelDn4pL,https://api.spotify.com/v1/tracks/11ozIUBoXAgRTVWelDn4pL,https://api.spotify.com/v1/audio-analysis/11ozIUBoXAgRTVWelDn4pL,244267,4
5,2012,6,Glad You Came,The Wanted,5yDL13y5giogKs2fSNf7sj,75,0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885,audio_features,5yDL13y5giogKs2fSNf7sj,spotify:track:5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/tracks/5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/audio-analysis/5yDL13y5giogKs2fSNf7sj,197936,4
6,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,6D60klaHqbCl9ySc8VcRss,63,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,audio_features,6D60klaHqbCl9ySc8VcRss,spotify:track:6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/tracks/6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/audio-analysis/6D60klaHqbCl9ySc8VcRss,221947,4
7,2012,8,We Found Love,Rihanna feat Calvin Harris,2FYVldsDrKYzQebSvqHpEz,42,0.769,0.787,1,-3.425,1,0.0367,0.185,0.000337,0.161,0.364,128.0,audio_features,2FYVldsDrKYzQebSvqHpEz,spotify:track:2FYVldsDrKYzQebSvqHpEz,https://api.spotify.com/v1/tracks/2FYVldsDrKYzQebSvqHpEz,https://api.spotify.com/v1/audio-analysis/2FYVldsDrKYzQebSvqHpEz,215667,4
8,2012,9,Starships,Nicki Minaj,1oHNvJVbFkexQc0BpQp7Y4,71,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,1oHNvJVbFkexQc0BpQp7Y4,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/tracks/1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/audio-analysis/1oHNvJVbFkexQc0BpQp7Y4,210627,4
9,2012,10,What Makes You Beautiful,One Direction,4cluDES4hQEUhmXj6TXkSo,81,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,audio_features,4cluDES4hQEUhmXj6TXkSo,spotify:track:4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987,4
