Year,Rank,Title,Artist
2012,1,Somebody That I Used to Know,Gotye feat Kimbra
2012,2,Call Me Maybe,Carly Rae Jepsen
2012,3,We Are Young,Fun feat Janelle Monáe
2012,4,Payphone,Maroon 5 feat Wiz Khalifa
2012,5,Lights,Ellie Goulding
2012,6,Glad You Came,The Wanted
2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson
2012,8,We Found Love,Rihanna feat Calvin Harris
2012,9,Starships,Nicki Minaj
2012,10,What Makes You Beautiful,One Direction
2012,11,Wild Ones,Flo Rida feat Sia
2012,12,Set Fire to the Rain,Adele
2012,13,Sexy and I Know It,LMFAO
2012,14,Some Nights,Fun
2012,15,Wide Awake,Katy Perry
2012,16,Good Feeling,Flo Rida
2012,17,Whistle,Flo Rida
2012,18,One More Night,Maroon 5
2012,19,Drive By,Train
2012,20,The Motto,Drake feat Lil Wayne
2012,21,Where Have You Been,Rihanna
2012,22,Everybody Talks,Neon Trees
2012,23,Take Care,Drake feat Rihanna
2012,24,Titanium,David Guetta feat Sia
2012,25,I Won't Give Up,Jason Mraz
2012,26,It Will Rain,Bruno Mars
2012,27,Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz"
2012,28,Boyfriend,Justin Bieber
2012,29,Party Rock Anthem,LMFAO feat Lauren Bennett and GoonRock
2012,30,Too Close,Alex Clare
2012,31,Part of Me,Katy Perry
2012,32,"Young, Wild & Free",Snoop Dogg and Wiz Khalifa feat Bruno Mars
2012,33,We Are Never Ever Getting Back Together,Taylor Swift
2012,34,As Long as You Love Me,Justin Bieber feat Big Sean
2012,35,Turn Me On,David Guetta feat Nicki Minaj
2012,36,Moves like Jagger,Maroon 5 feat Christina Aguilera
2012,37,Blow Me (One Last Kiss),Pink
2012,38,Good Time,Owl City and Carly Rae Jepsen
2012,39,Give Your Heart a Break,Demi Lovato
2012,40,Niggas in Paris,Jay-Z and Kanye West
2012,41,The One That Got Away,Katy Perry
2012,42,Feel So Close,Calvin Harris
2012,43,Someone like You,Adele
2012,44,Scream,Usher
2012,45,Rack City,Tyga
2012,46,Domino,Jessie J
2012,47,Gangnam Style,Psy
2012,48,International Love,Pitbull feat Chris Brown
2012,49,Home,Phillip Phillips
2012,50,Without You,David Guetta feat Usher
2012,51,Ass Back Home,Gym Class Heroes feat Neon Hitch
2012,52,Wanted,Hunter Hayes
2012,53,Drunk on You,Luke Bryan
2012,54,No Lie,2 Chainz feat Drake
2012,55,Want U Back,Cher Lloyd
2012,56,Don't Wake Me Up,Chris Brown
2012,57,Dance (A$$),Big Sean feat Nicki Minaj
2012,58,Springsteen,Eric Church
2012,59,Brokenhearted,Karmin
2012,60,Not Over You,Gavin DeGraw
2012,61,Stereo Hearts,Gym Class Heroes feat Adam Levine
2012,62,Back in Time,Pitbull
2012,63,Work Out,J. Cole
2012,64,Rumour Has It,Adele
2012,65,Let's Go,Calvin Harris feat Ne-Yo
2012,66,Good Girl,Carrie Underwood
2012,67,Pontoon,Little Big Town
2012,68,Ho Hey,The Lumineers
2012,69,Paradise,Coldplay
2012,70,Blown Away,Carrie Underwood
2012,71,Rolling in the Deep,Adele
2012,72,Climax,Usher
2012,73,"Work Hard, Play Hard",Wiz Khalifa
2012,74,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo
2012,75,Pound the Alarm,Nicki Minaj
2012,76,Come Over,Kenny Chesney
2012,77,Heart Attack,Trey Songz
2012,78,Drank in My Cup,Kirko Bangz
2012,79,Birthday Cake,Rihanna feat Chris Brown
2012,80,So Good,B.o.B
2012,81,50 Ways to Say Goodbye,Train
2012,82,Red Solo Cup,Toby Keith
2012,83,Love You like a Love Song,Selena Gomez & the Scene
2012,84,Turn Up the Music,Chris Brown
2012,85,Die Young,Kesha
2012,86,5 O'Clock,T-Pain feat Wiz Khalifa and Lily Allen
2012,87,A Thousand Years,Christina Perri
2012,88,Take a Little Ride,Jason Aldean
2012,89,You da One,Rihanna
2012,90,We Run the Night,Havana Brown feat Pitbull
2012,91,It's Time,Imagine Dragons
2012,92,Cashin' Out,Cash Out
2012,93,I Don't Want This Night to End,Luke Bryan
2012,94,Diamonds,Rihanna
2012,95,Hard to Love,Lee Brice
2012,96,Somethin' 'Bout a Truck,Kip Moore
2012,97,Adorn,Miguel
2012,98,Fly Over States,Jason Aldean
2012,99,Even If It Breaks Your Heart,Eli Young Band
2012,100,Burn It Down,Linkin Park
2013,1,Thrift Shop,Macklemore & Ryan Lewis feat Wanz
2013,2,Blurred Lines,Robin Thicke feat T.I. and Pharrell Williams
2013,3,Radioactive,Imagine Dragons
2013,4,Harlem Shake,Baauer
2013,5,Can't Hold Us,Macklemore & Ryan Lewis feat Ray Dalton
2013,6,Mirrors,Justin Timberlake
2013,7,Just Give Me a Reason,Pink feat Nate Ruess
2013,8,When I Was Your Man,Bruno Mars
2013,9,Cruise,Florida Georgia Line feat Nelly
2013,10,Roar,Katy Perry
2013,11,Locked Out of Heaven,Bruno Mars
2013,12,Ho Hey,The Lumineers
2013,13,Stay,Rihanna feat Mikky Ekko
2013,14,Get Lucky,Daft Punk feat Pharrell Williams
2013,15,Royals,Lorde
2013,16,I Knew You Were Trouble,Taylor Swift
2013,17,We Can't Stop,Miley Cyrus
2013,18,Wrecking Ball,Miley Cyrus
2013,19,Wake Me Up,Avicii
2013,20,Suit & Tie,Justin Timberlake feat Jay-Z
2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
2013,22,Holy Grail,Jay-Z feat Justin Timberlake
2013,23,Scream & Shout,will.i.am feat Britney Spears
2013,24,Clarity,Zedd feat Foxes
2013,25,Sail,Awolnation
2013,26,Don't You Worry Child,Swedish House Mafia feat John Martin
2013,27,Diamonds,Rihanna
2013,28,I Love It,Icona Pop feat Charli XCX
2013,29,Safe and Sound,Capital Cities
2013,30,Treasure,Bruno Mars
2013,31,The Way,Ariana Grande feat Mac Miller
2013,32,Started from the Bottom,Drake
2013,33,Come & Get It,Selena Gomez
2013,34,"Hold On, We're Going Home",Drake feat Majid Jordan
2013,35,Daylight,Maroon 5
2013,36,Feel This Moment,Pitbull feat Christina Aguilera
2013,37,Applause,Lady Gaga
2013,38,One More Night,Maroon 5
2013,39,Love Me,Lil Wayne feat Drake and Future
2013,40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy
2013,41,Fuckin' Problems,"ASAP Rocky feat Drake, 2 Chainz and Kendrick Lamar"
2013,42,Beauty and a Beat,Justin Bieber feat Nicki Minaj
2013,43,Same Love,Macklemore & Ryan Lewis feat Mary Lambert
2013,44,Sweet Nothing,Calvin Harris feat Florence Welch
2013,45,Summertime Sadness,Lana Del Rey and Cédric Gervais
2013,46,Home,Phillip Phillips
2013,47,It's Time,Imagine Dragons
2013,48,Power Trip,J. Cole feat Miguel
2013,49,Girl on Fire,Alicia Keys feat Nicki Minaj
